,t,v
2896,1481155200,0.589503585540003
2897,1481241600,0.5904890476558381
2898,1481328000,0.5901174468247821
2899,1481414400,0.590176237534475
2900,1481500800,0.590188836531232
2901,1481587200,0.589996058401256
2902,1481673600,0.589943947443607
2903,1481760000,0.59000858985177
2904,1481846400,0.589670493909598
2905,1481932800,0.589677723741295
2906,1482019200,0.589919808164948
2907,1482105600,0.5897682942761671
2908,1482192000,0.5898652456891771
2909,1482278400,0.5888776563725371
2910,1482364800,0.5878121352530541
2911,1482451200,0.586736762313944
2912,1482537600,0.586489577084873
2913,1482624000,0.586210101127944
2914,1482710400,0.5862883515984061
2915,1482796800,0.586336446853718
2916,1482883200,0.58550418300844
2917,1482969600,0.58478635411318
2918,1483056000,0.584195002775948
2919,1483142400,0.5840388327692341
2920,1483228800,0.583903205922475
2921,1483315200,0.58316852445175
2922,1483401600,0.582898664381243
2923,1483488000,0.5823537610300651
2924,1483574400,0.581468574656957
2925,1483660800,0.5809748717547011
2926,1483747200,0.5806806739108821
2927,1483833600,0.5803120495939791
2928,1483920000,0.580596100285869
2929,1484006400,0.580448048846521
2930,1484092800,0.580486638528944
2931,1484179200,0.5803585067866981
2932,1484265600,0.5802470914726781
2933,1484352000,0.5804356561006321
2934,1484438400,0.580555732491122
2935,1484524800,0.5804056166408811
2936,1484611200,0.5803960970538391
2937,1484697600,0.580462556013377
2938,1484784000,0.5806315109801421
2939,1484870400,0.5808367457110031
2940,1484956800,0.5807131609821741
2941,1485043200,0.5827791455222561
2942,1485129600,0.5826428158723811
2943,1485216000,0.582812349933279
2944,1485302400,0.5829711987106331
2945,1485388800,0.5831380458401421
2946,1485475200,0.5831517114332351
2947,1485561600,0.583205266029422
2948,1485648000,0.5824922979512991
2949,1485734400,0.582516906891812
2950,1485820800,0.582734799801886
2951,1485907200,0.583139530207467
2952,1485993600,0.5830713611418821
2953,1486080000,0.5826177352816
2954,1486166400,0.582641799944699
2955,1486252800,0.582427472823152
2956,1486339200,0.582068604880849
2957,1486425600,0.5813630176559871
2958,1486512000,0.581441335925319
2959,1486598400,0.580819686938977
2960,1486684800,0.580777281685114
2961,1486771200,0.5808542851188291
2962,1486857600,0.580719569042345
2963,1486944000,0.580512501906546
2964,1487030400,0.580782506746517
2965,1487116800,0.580991178098286
2966,1487203200,0.5815582624667021
2967,1487289600,0.581289553039485
2968,1487376000,0.581474649887722
2969,1487462400,0.581440661061577
2970,1487548800,0.5813716837031171
2971,1487635200,0.581728715093306
2972,1487721600,0.5816114460564571
2973,1487808000,0.5819801279398841
2974,1487894400,0.581297762963314
2975,1487980800,0.581234444639681
2976,1488067200,0.581141921959478
2977,1488153600,0.58126053922433
2978,1488240000,0.581337663088038
2979,1488326400,0.5838594334061721
2980,1488412800,0.5838294445990341
2981,1488499200,0.5825664952794151
2982,1488585600,0.5825320435179561
2983,1488672000,0.582657811767063
2984,1488758400,0.5828212882302071
2985,1488844800,0.5828133058297791
2986,1488931200,0.5832964762731131
2987,1489017600,0.5834892788817121
2988,1489104000,0.583248604256359
2989,1489190400,0.5832144456585381
2990,1489276800,0.583187959275797
2991,1489363200,0.5803692343509941
2992,1489449600,0.580634431680892
2993,1489536000,0.580851078188203
2994,1489622400,0.580551060026892
2995,1489708800,0.5798129492238171
2996,1489795200,0.5796799500298171
2997,1489881600,0.579194144673819
2998,1489968000,0.579046534937363
2999,1490054400,0.578955316093638
3000,1490140800,0.579089530371922
3001,1490227200,0.578973125847634
3002,1490313600,0.5743991495898291
3003,1490400000,0.5737314813218161
3004,1490486400,0.57288970008317
3005,1490572800,0.5726784025778531
3006,1490659200,0.5724452957236831
3007,1490745600,0.5723082045409961
3008,1490832000,0.572084530862176
3009,1490918400,0.5716001452764671
3010,1491004800,0.572053831816264
3011,1491091200,0.571928341963935
3012,1491177600,0.571969452051736
3013,1491264000,0.573730105905329
3014,1491350400,0.5737311814317111
3015,1491436800,0.574346829096548
3016,1491523200,0.576450077269269
3017,1491609600,0.576633921593642
3018,1491696000,0.577149724534013
3019,1491782400,0.5773620943058451
3020,1491868800,0.5773608334246151
3021,1491955200,0.5774212274735191
3022,1492041600,0.57761686393468
3023,1492128000,0.5770628707473571
3024,1492214400,0.577622050633332
3025,1492300800,0.577892205343429
3026,1492387200,0.578038718512031
3027,1492473600,0.5780089937989621
3028,1492560000,0.5780402311786941
3029,1492646400,0.578400175293722
3030,1492732800,0.5787843354866671
3031,1492819200,0.57913730506285
3032,1492905600,0.579116467228295
3033,1492992000,0.578751516025371
3034,1493078400,0.578723613109109
3035,1493164800,0.5787611291012781
3036,1493251200,0.5794535184747891
3037,1493337600,0.5783608120103451
3038,1493424000,0.578475149220537
3039,1493510400,0.5782580208357091
3040,1493596800,0.576954528486727
3041,1493683200,0.5764040720068271
3042,1493769600,0.5762477111459571
3043,1493856000,0.5766818014416081
3044,1493942400,0.5755468094119021
3045,1494028800,0.575581298657414
3046,1494115200,0.5756539130825871
3047,1494201600,0.574996436244268
3048,1494288000,0.574359365387704
3049,1494374400,0.5743455036749351
3050,1494460800,0.5738498001041741
3051,1494547200,0.57344095343271
3052,1494633600,0.5733942643498511
3053,1494720000,0.573918856069633
3054,1494806400,0.573728431544221
3055,1494892800,0.573763156761196
3056,1494979200,0.574617410803277
3057,1495065600,0.574516657919111
3058,1495152000,0.574115637683089
3059,1495238400,0.5736922036355541
3060,1495324800,0.5733690433510961
3061,1495411200,0.572043868279499
3062,1495497600,0.571180810649584
3063,1495584000,0.5699336565684441
3064,1495670400,0.56724903396283
3065,1495756800,0.566703939549975
3066,1495843200,0.566504966255559
3067,1495929600,0.566215054325913
3068,1496016000,0.566088401102947
3069,1496102400,0.565718301667676
3070,1496188800,0.564982479067486
3071,1496275200,0.56410858515216
3072,1496361600,0.563955114051894
3073,1496448000,0.563823063659878
3074,1496534400,0.5634790420517181
3075,1496620800,0.5632795869700861
3076,1496707200,0.5630997665201171
3077,1496793600,0.5630580823908771
3078,1496880000,0.562868707888268
3079,1496966400,0.562167210657554
3080,1497052800,0.5619227023988771
3081,1497139200,0.562390830232628
3082,1497225600,0.560540149666214
3083,1497312000,0.558690332856795
3084,1497398400,0.5580726006223561
3085,1497484800,0.5577073449694291
3086,1497571200,0.557315195868002
3087,1497657600,0.558915677814051
3088,1497744000,0.557559105743847
3089,1497830400,0.5570293145875831
3090,1497916800,0.5569593242928811
3091,1498003200,0.557558764366472
3092,1498089600,0.557732101976266
3093,1498176000,0.5576261757235671
3094,1498262400,0.557812019390993
3095,1498348800,0.557570683090941
3096,1498435200,0.557647534508231
3097,1498521600,0.5576512158867221
3098,1498608000,0.557150750306853
3099,1498694400,0.5572186625251251
3100,1498780800,0.556532812638298
3101,1498867200,0.556279635460408
3102,1498953600,0.5560225301204
3103,1499040000,0.555447005908829
3104,1499126400,0.5553257650168251
3105,1499212800,0.554933659190025
3106,1499299200,0.5546047017638911
3107,1499385600,0.554280903636389
3108,1499472000,0.554290667641544
3109,1499558400,0.5544450722246831
3110,1499644800,0.554848060236368
3111,1499731200,0.5551376607416361
3112,1499817600,0.5551721536999691
3113,1499904000,0.554697829819172
3114,1499990400,0.554465786514938
3115,1500076800,0.5543756409514741
