Date,Open,High,Low,Close,Volume,N. Trades
2017-12-22 09:00:00,13167.70000000,13830.00000000,13133.74000000,13415.68000000,20057188.86815257,8574
2017-12-22 10:00:00,13432.01000000,14331.38000000,13133.75000000,13819.41000000,13128926.42879809,7452
2017-12-22 11:00:00,13819.41000000,13920.00000000,12958.96000000,13456.00000000,12216590.66228103,6719
2017-12-22 12:00:00,13449.10000000,13724.93000000,13200.00000000,13389.00000000,7814577.05719460,5005
2017-12-22 13:00:00,13389.00000000,13399.99000000,12001.00000000,12020.04000000,25686891.52115680,14566
2017-12-22 14:00:00,12020.04000000,12488.00000000,10961.00000000,11999.97000000,42619977.72594323,23810
2017-12-22 15:00:00,11980.53000000,13274.00000000,11600.04000000,12660.27000000,28791964.07723585,17047
2017-12-22 16:00:00,12696.50000000,12780.00000000,11800.01000000,12567.08000000,20155982.28771107,12346
2017-12-22 17:00:00,12567.08000000,13020.67000000,12301.01000000,12821.51000000,11597863.37490186,8266
2017-12-22 18:00:00,12829.15000000,13500.00000000,12500.00000000,13383.00000000,11159803.17307584,8627
2017-12-22 19:00:00,13390.00000000,13580.00000000,12650.00000000,13178.00000000,11321383.37627783,7900
2017-12-22 20:00:00,13178.00000000,14100.00000000,13050.02000000,14086.95000000,11696823.22883783,7742
2017-12-22 21:00:00,14086.94000000,14299.99000000,13555.00000000,13840.10000000,11167174.29792667,7585
2017-12-22 22:00:00,13840.09000000,14649.99000000,13821.26000000,14599.98000000,8945889.84172985,5935
2017-12-22 23:00:00,14569.06000000,14600.02000000,12840.00000000,13326.61000000,17288287.93893761,10012
2017-12-23 00:00:00,13326.61000000,13911.00000000,13000.00000000,13500.01000000,12298952.33619064,6966
2017-12-23 01:00:00,13514.43000000,13750.00000000,13201.00000000,13621.59000000,6900614.99054376,4871
2017-12-23 02:00:00,13621.60000000,14210.00000000,13621.59000000,13800.00000000,8441315.08837372,5940
2017-12-23 03:00:00,13800.00000000,14300.00000000,13730.01000000,14284.95000000,8596965.32360539,4674
2017-12-23 04:00:00,14284.95000000,14300.00000000,13800.02000000,13885.02000000,6962067.29977323,4929
2017-12-23 05:00:00,13885.02000000,14110.00000000,13255.01000000,13488.39000000,8658322.00055457,6460
2017-12-23 06:00:00,13488.39000000,13570.09000000,12978.18000000,13492.61000000,7813708.28380040,5917
2017-12-23 07:00:00,13492.52000000,13950.00000000,13416.61000000,13609.25000000,7424558.34695317,5055
2017-12-23 08:00:00,13609.25000000,13975.00000000,13570.03000000,13729.00000000,5059372.77516921,4423
2017-12-23 09:00:00,13729.00000000,13969.99000000,13480.00000000,13945.93000000,5372058.86652539,4341
2017-12-23 10:00:00,13945.94000000,14221.35000000,13622.89000000,14155.01000000,7386764.13347872,5898
2017-12-23 11:00:00,14155.42000000,14650.00000000,14055.18000000,14642.99000000,9506188.06445912,6667
2017-12-23 12:00:00,14640.00000000,14650.00000000,14012.00000000,14255.00000000,8783254.63674957,6561
2017-12-23 13:00:00,14255.00000000,14450.00000000,14168.21000000,14429.88000000,6717943.39387339,5249
2017-12-23 14:00:00,14432.12000000,14859.00000000,14420.00000000,14815.00000000,8545229.06204013,7123
2017-12-23 15:00:00,14815.00000000,14950.00000000,13920.00000000,14218.39000000,12215708.98084994,8739
2017-12-23 16:00:00,14218.39000000,14741.91000000,13963.13000000,14730.00000000,9097539.82877300,7394
2017-12-23 17:00:00,14730.00000000,14760.00000000,14200.01000000,14471.47000000,7170983.33734938,5211
2017-12-23 18:00:00,14471.47000000,14619.99000000,14201.08000000,14312.90000000,4275833.07240927,3587
2017-12-23 19:00:00,14300.02000000,14516.08000000,14300.02000000,14434.01000000,3663647.63363277,2587
2017-12-23 20:00:00,14434.00000000,14788.95000000,14350.00000000,14700.02000000,3990276.84055147,3693
2017-12-23 21:00:00,14700.02000000,14888.00000000,14608.15000000,14801.98000000,4366682.74086945,4074
2017-12-23 22:00:00,14820.99000000,14900.00000000,14302.00000000,14305.16000000,5615999.74243342,4383
2017-12-23 23:00:00,14351.00000000,14584.60000000,13234.56000000,13300.00000000,15895698.55310755,10263
2017-12-24 00:00:00,13300.00000000,13750.42000000,12652.00000000,13199.99000000,18751611.63325933,11867
2017-12-24 01:00:00,13170.00000000,13740.00000000,12745.01000000,13000.00000000,17886109.49264658,9083
