,t,v
610,1283644800,384
611,1283731200,359
612,1283817600,245
613,1283904000,383
614,1283990400,382
615,1284076800,376
616,1284163200,279
617,1284249600,545
618,1284336000,557
619,1284422400,477
620,1284508800,499
621,1284595200,495
622,1284681600,825
623,1284768000,353
624,1284854400,482
625,1284940800,531
626,1285027200,1062
627,1285113600,876
628,1285200000,837
629,1285286400,614
630,1285372800,656
631,1285459200,444
632,1285545600,1070
633,1285632000,1503
634,1285718400,1049
635,1285804800,492
636,1285891200,693
637,1285977600,680
638,1286064000,550
639,1286150400,690
640,1286236800,577
641,1286323200,522
642,1286409600,489
643,1286496000,665
644,1286582400,607
645,1286668800,457
646,1286755200,475
647,1286841600,494
648,1286928000,756
649,1287014400,439
650,1287100800,406
651,1287187200,703
652,1287273600,525
653,1287360000,731
654,1287446400,1162
655,1287532800,944
656,1287619200,817
657,1287705600,823
658,1287792000,669
659,1287878400,665
660,1287964800,563
661,1288051200,639
662,1288137600,914
663,1288224000,805
664,1288310400,654
665,1288396800,428
666,1288483200,403
667,1288569600,421
668,1288656000,288
669,1288742400,394
670,1288828800,423
671,1288915200,647
672,1289001600,414
673,1289088000,486
674,1289174400,1363
675,1289260800,468
676,1289347200,469
677,1289433600,396
678,1289520000,299
679,1289606400,372
680,1289692800,708
681,1289779200,4217
682,1289865600,3189
683,1289952000,459
684,1290038400,405
685,1290124800,497
686,1290211200,668
687,1290297600,620
688,1290384000,466
689,1290470400,525
690,1290556800,801
691,1290643200,740
692,1290729600,1018
693,1290816000,661
694,1290902400,538
695,1290988800,710
696,1291075200,602
697,1291161600,938
698,1291248000,641
699,1291334400,708
700,1291420800,497
701,1291507200,488
702,1291593600,507
703,1291680000,926
704,1291766400,687
705,1291852800,632
706,1291939200,491
707,1292025600,823
708,1292112000,1026
709,1292198400,1539
710,1292284800,966
711,1292371200,906
712,1292457600,781
713,1292544000,634
714,1292630400,701
715,1292716800,909
716,1292803200,1304
717,1292889600,900
718,1292976000,1057
719,1293062400,784
720,1293148800,707
721,1293235200,915
722,1293321600,885
723,1293408000,985
724,1293494400,868
725,1293580800,830
726,1293667200,926
727,1293753600,741
728,1293840000,903
729,1293926400,883
730,1294012800,1246
731,1294099200,939
732,1294185600,1390
733,1294272000,1021
734,1294358400,1096
735,1294444800,1313
736,1294531200,1230
737,1294617600,1281
738,1294704000,1395
739,1294790400,1104
740,1294876800,1521
741,1294963200,1436
742,1295049600,1273
743,1295136000,1374
744,1295222400,1177
745,1295308800,1280
746,1295395200,1388
747,1295481600,1280
748,1295568000,1807
749,1295654400,2035
750,1295740800,1770
751,1295827200,1878
752,1295913600,1296
753,1296000000,1419
754,1296086400,1502
755,1296172800,1550
756,1296259200,1928
757,1296345600,3057
758,1296432000,2075
759,1296518400,1766
760,1296604800,1339
761,1296691200,1113
762,1296777600,1332
763,1296864000,1353
764,1296950400,1232
765,1297036800,1209
766,1297123200,1262
767,1297209600,1916
768,1297296000,3381
769,1297382400,4145
770,1297468800,3133
771,1297555200,3082
772,1297641600,3940
773,1297728000,3215
774,1297814400,2775
775,1297900800,3301
776,1297987200,3436
777,1298073600,2737
778,1298160000,3011
779,1298246400,3124
780,1298332800,3604
781,1298419200,3601
782,1298505600,3505
783,1298592000,3234
784,1298678400,3363
785,1298764800,3448
786,1298851200,2896
787,1298937600,5066
788,1299024000,3576
789,1299110400,4737
790,1299196800,3105
791,1299283200,3424
792,1299369600,3139
793,1299456000,3254
794,1299542400,3698
795,1299628800,3237
796,1299715200,2802
797,1299801600,2922
798,1299888000,3098
799,1299974400,2776
800,1300060800,2788
801,1300147200,3187
802,1300233600,3034
803,1300320000,3090
804,1300406400,2974
805,1300492800,3061
806,1300579200,4319
807,1300665600,4514
808,1300752000,3743
809,1300838400,6710
810,1300924800,4254
811,1301011200,4019
812,1301097600,4709
813,1301184000,4643
814,1301270400,5190
815,1301356800,4511
816,1301443200,3525
817,1301529600,3999
818,1301616000,3137
819,1301702400,3148
820,1301788800,3474
821,1301875200,4476
822,1301961600,4158
823,1302048000,3733
824,1302134400,3289
825,1302220800,3505
826,1302307200,3482
827,1302393600,3369
828,1302480000,3912
829,1302566400,4188
830,1302652800,4520
831,1302739200,5823
832,1302825600,4024
833,1302912000,5234
834,1302998400,4200
835,1303084800,5409
836,1303171200,6221
837,1303257600,5252
838,1303344000,3915
839,1303430400,4107
840,1303516800,4801
841,1303603200,4530
842,1303689600,4940
843,1303776000,6011
844,1303862400,7342
845,1303948800,6056
846,1304035200,6586
847,1304121600,8009
848,1304208000,7343
849,1304294400,5814
850,1304380800,5887
851,1304467200,6210
852,1304553600,6921
853,1304640000,6659
854,1304726400,7090
855,1304812800,6135
856,1304899200,7306
857,1304985600,6931
858,1305072000,6863
859,1305158400,7017
860,1305244800,9229
861,1305331200,8737
862,1305417600,8078
863,1305504000,11506
864,1305590400,10261
865,1305676800,12695
866,1305763200,11771
867,1305849600,11381
868,1305936000,10577
869,1306022400,10533
870,1306108800,11949
871,1306195200,12952
872,1306281600,14348
873,1306368000,14242
874,1306454400,10599
875,1306540800,11415
876,1306627200,11036
877,1306713600,12428
878,1306800000,13850
879,1306886400,13657
880,1306972800,15288
881,1307059200,17582
882,1307145600,19181
883,1307232000,17585
884,1307318400,20676
885,1307404800,18723
886,1307491200,27013
887,1307577600,26012
888,1307664000,23862
889,1307750400,23329
890,1307836800,26680
891,1307923200,25460
892,1308009600,29187
893,1308096000,27126
894,1308182400,28463
895,1308268800,25713
896,1308355200,25771
897,1308441600,27371
898,1308528000,25591
899,1308614400,24486
900,1308700800,26303
901,1308787200,23864
902,1308873600,25067
903,1308960000,22254
904,1309046400,23338
905,1309132800,28631
906,1309219200,25983
907,1309305600,24028
908,1309392000,23070
909,1309478400,30042
910,1309564800,32112
911,1309651200,22129
912,1309737600,23440
913,1309824000,23168
914,1309910400,26752
915,1309996800,22771
916,1310083200,24399
