time,open,high,low,close,Volume,Volume MA,RSI
1396224000,460,486.7,438,454.83,20986.65096,14631.78255,27.35671932
1396310400,454.81,509.98,452.04,478.98,22904.80786,15141.92294,33.74650715
1396396800,478.98,494.98,430,439,34478.66605,16530.90624,29.17178856
1396483200,438.9,465,416.11,451.03,26944.97731,17446.35511,32.15221725
1396569600,451.03,459.5,430.77,452.2,15699.31017,18123.27062,32.44993393
1396656000,450,464.8,441.25,464.8,6467.317936,18284.48651,35.7211194
1396742400,464.8,465,450.2,456.27,5283.848378,18093.07893,34.5029741
1396828800,459.97,464.19,446,447.11,7419.247937,17720.89133,33.1939023
1396915200,447.11,459.8,446.24,453.57,5844.422473,17661.76245,35.06504625
1397001600,453.57,457.3,438.08,441.69,8006.60407,17518.64266,33.22220407
1397088000,441.69,442.46,357.57,363.12,49713.84445,18884.58488,24.1736232
1397174400,363.1,432.22,339.79,423,42124.74577,20310.17217,38.02722488
1397260800,423,439.5,413.72,423.42,10809.05206,20548.87477,38.11263249
1397347200,424.91,427.75,397.16,416.3,11017.8849,20420.91902,37.17725199
1397433600,416.29,475,408,458.5,33605,21697.91902,45.6857058
1397520000,459.99,528.75,453.16,521,32587,22814.41902,55.33422817
1397606400,523.1,548,494.02,529.77,30684,21915.36902,56.50190108
1397692800,529.26,533.8,481.63,500.09,20019,21170.46902,51.58678468
1397779200,500.09,506.97,470,483.11,11092,21355.21902,48.96260404
1397865600,482.1,507.43,472.81,503.8,10227,20295.76902,52.15625826
1397952000,505.18,516.53,493,500,5748,19533.83647,51.51862431
1398038400,501.07,515,490,496.74,8084,18792.79608,50.94322396
1398124800,497.98,504.9,485.2,490,8484,17493.06277,49.70712988
1398211200,490,495.2,484.61,492,5643,16427.96391,50.094095
1398297600,491.94,505,480,502.2,7910,16038.4984,52.11756373
1398384000,502.15,503.99,438.05,466.52,33403,17385.2825,45.21188275
1398470400,466.71,470.96,451.07,459,8791,17560.64008,43.89185217
1398556800,459.22,461.97,429.95,430,9279,17653.62769,39.14532332
1398643200,430,452.16,424,442.9,18256,18274.20656,42.14260454
1398729600,440.41,454.47,432.02,448,13782,18562.97636,43.3309551
1398816000,448,453.99,433.08,448.85,10719,16613.23414,43.53910055
1398902400,449,465.88,447.97,460.97,9521,14983.04685,46.55355173
1398988800,460.97,462.99,444.51,454.5,8146,14849.89425,45.16721069
1399075200,452,454.5,431,439.85,7332,14665.6,42.10937543
1399161600,439,442.83,429.55,438.04,5091,13239.9,41.73345083
1399248000,435.88,445,425,433,7945,12007.8,40.64534923
1399334400,431.64,434,420.27,428.01,8034,10875.3,39.54598342
1399420800,429,452,425.67,440,13221,10535.4,43.50037992
1399507200,441.47,450.08,437.61,437.69,6283,10294.95,42.91791319
1399593600,439.6,457.08,437.71,452.37,8238,10195.5,47.70970489
1399680000,452.78,459.24,449.79,455.39,4096,10112.9,48.664438
1399766400,457.7,458.2,429.6,440,8826,10150,44.23226756
1399852800,437.67,443.77,431.56,442.5,4550,9953.3,45.10686628
1399939200,442.48,442.75,430.61,439.12,5936,9967.95,44.09987755
1400025600,439.12,449.96,438.36,446,6355,9890.2,46.70784208
1400112000,444.07,452.67,444.02,446,5465,8493.3,46.70784208
1400198400,446.27,452.41,444.5,447.31,3629,8235.2,47.25128388
1400284800,447.55,451.48,445.01,449.06,2263,7884.4,48.01393881
1400371200,449.07,451.43,444.52,446.91,2460,7094.6,47.11270124
1400457600,446.91,450,441.44,448.34,4682,6639.6,47.81432696
1400544000,448.34,500,447.14,489,28123,7509.8,62.88961451
1400630400,489,499.1,487.11,493.98,7098,7388.65,64.25173624
1400716800,493.98,530,492.65,529.99,17421,7852.4,72.19817048
1400803200,529.99,547.1,518.55,523.77,19568,8464.2,69.33135985
1400889600,523.75,529.06,515.4,528.44,5482,8483.75,70.28537282
1400976000,528.44,586.34,527.09,573.9,19734,9073.2,77.59254734
1401062400,573.5,593.48,565.58,581.88,11573,9250.15,78.58794296
1401148800,581.87,595,550.22,572.7,19797,9578.95,74.48857073
1401235200,572.7,582.26,563.45,580.66,8946,9712.1,75.67350964
1401321600,580.66,582.1,560.05,572.37,8074,9703.9,71.92657024
1401408000,572.37,629.4,568.56,621,22479,10623.05,78.61561356
1401494400,621,628.5,611,627.8,9660,10664.75,79.35631812
