Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades,RSI,target,,,,
1.54803E+12,3539.26,3559.51,3475.5,3526.9,19644.43684,1.54812E+12,69316548.77,160825,42.485962,0,,,,
1.54812E+12,3526.88,3608.5,3434.85,3570.93,29336.44297,1.5482E+12,103804480.1,195484,44.65589,1,,,,
1.5482E+12,3570.41,3607.98,3514.5,3552.82,24938.8427,1.54829E+12,88816396.35,192892,43.921872,0,,,,
1.54829E+12,3552.97,3589,3529.22,3569.62,20826.25118,1.54837E+12,74037052.87,162159,44.827862,1,,,,
1.54837E+12,3569.07,3587.15,3522.51,3565.29,17608.34667,1.54846E+12,62634926.46,153413,44.627738,0,,,,
1.54846E+12,3566.69,3662.94,3545,3565.25,19476.53234,1.54855E+12,69841766.65,135369,44.625756,0,,,,
1.54855E+12,3565.62,3579,3486,3550.84,22735.59816,1.54863E+12,80743416.85,163855,43.869894,0,,,,
1.54863E+12,3550.05,3557.75,3380.27,3434.15,40405.1114,1.54872E+12,139258708.8,260799,38.223832,0,,,,
1.54872E+12,3434,3443.45,3349.92,3411.04,29544.92898,1.54881E+12,100542807.5,189650,37.202648,0,,,,
1.54881E+12,3410.04,3478,3387.1,3458.18,23968.26024,1.54889E+12,82521122.86,180820,40.683757,1,,,,
1.54889E+12,3457.5,3489.2,3418.8,3434.1,29607.19025,1.54898E+12,101928347,198100,39.479822,0,,,,
1.54898E+12,3434.1,3488,3401.2,3462.07,25260.47616,1.54907E+12,87075914.23,167520,41.640137,1,,,,
1.54907E+12,3462.2,3526.4,3440.29,3504.77,17920.802,1.54915E+12,62134037.98,153234,44.875208,1,,,,
1.54915E+12,3504.06,3511.09,3426,3458.11,19867.33639,1.54924E+12,68801620.06,138592,42.127106,0,,,,
1.54924E+12,3458.11,3484.88,3433.31,3463.22,23131.98111,1.54932E+12,80024258.23,155686,42.542096,1,,,,
1.54932E+12,3463.22,3478.97,3448.43,3471.59,25264.41503,1.54941E+12,87491347.06,162066,43.259794,1,,,,
1.54941E+12,3471.57,3482.72,3380,3405.37,35310.24485,1.5495E+12,120500703,207024,39.098741,0,,,,
1.5495E+12,3407,3426.45,3390,3398.4,18665.53864,1.54958E+12,63611505.79,148209,38.677044,0,,,,
1.54958E+12,3398.4,3733.58,3373.1,3659.04,47968.05801,1.54967E+12,170118212.5,277242,57.24659,1,,,,
1.54967E+12,3660.27,3680.02,3625.13,3665.18,24759.83372,1.54976E+12,90488500.07,192209,57.57253,1,,,,
1.54976E+12,3665.18,3684.99,3609.76,3680.06,23250.60263,1.54984E+12,84696423.96,171099,58.400237,1,,,,
1.54984E+12,3679.75,3684.9,3615.53,3631.05,24954.61457,1.54993E+12,90731831.9,172626,54.620581,0,,,,
1.54993E+12,3631.05,3667.6,3582.34,3631.46,29479.59823,1.55002E+12,106766440,198996,54.647025,1,,,,
1.55002E+12,3631.51,3670,3591.75,3609.4,25773.99765,1.5501E+12,93350740.95,167690,52.862103,0,,,,
1.5501E+12,3608.34,3626.4,3568.11,3590.56,21753.50126,1.55019E+12,78367545.58,155215,51.320393,0,,,,
1.55019E+12,3590.57,3653.23,3573.45,3602.47,20777.8729,1.55028E+12,74938358.18,151256,52.268118,1,,,,
1.55028E+12,3602.49,3648.2,3597.91,3618.41,19565.99275,1.55036E+12,70894921.81,149393,53.570944,1,,,,
1.55036E+12,3617.22,3700.11,3604.4,3667.58,25690.22778,1.55045E+12,93426433.13,179511,57.43079,1,,,,
1.55045E+12,3667.62,3925,3655,3898.6,64042.73049,1.55053E+12,242898012.8,393515,70.035262,1,,,,
1.55053E+12,3897.35,3994.52,3856,3907.79,50207.17267,1.55062E+12,197091641,332281,70.410595,1,,,,
1.55062E+12,3907.35,3986.98,3870.66,3969.74,36205.14085,1.55071E+12,142571564.6,250176,72.876944,1,,,,
1.55071E+12,3969.74,4016.48,3901.03,3937.31,31103.88473,1.55079E+12,122714273.9,209571,69.606128,0,,,,
1.55079E+12,3937.31,3988,3926.65,3962,23943.16375,1.55088E+12,94739322.75,179588,70.684868,1,,,,
1.55088E+12,3962,4162.02,3933.15,4117.76,33657.94288,1.55097E+12,135782959.4,231563,76.380277,1,,,,
1.55097E+12,4118,4198,3712.66,3743.56,62224.18689,1.55105E+12,244146803.5,410578,50.830387,0,,,,
1.55105E+12,3743.56,3872.66,3740,3827.92,38102.96625,1.55114E+12,145285565.2,262716,54.523655,1,,,,
1.55114E+12,3828.44,3841.51,3777,3809.23,28838.74804,1.55123E+12,109932596.1,213897,53.563719,0,,,,
1.55123E+12,3809.31,3838.85,3677.17,3818.07,31500.99547,1.55131E+12,119564023.1,201626,53.976448,1,,,,
1.55131E+12,3818.04,3888,3763.87,3813.69,32561.96104,1.5514E+12,124703738.4,233849,53.721669,0,,,,
1.5514E+12,3814.26,3857,3813.01,3823,23174.57217,1.55148E+12,88851336.52,179860,54.216356,1,,,,
1.55148E+12,3822.17,3841.31,3772.25,3819.93,19445.83836,1.55157E+12,74175357.78,149854,54.011329,0,,,,
1.55157E+12,3819.97,3835,3781.32,3807.75,16718.16541,1.55166E+12,63791898.99,127681,53.152518,0,,,,
1.55166E+12,3807.32,3830,3670.69,3715.3,34742.84166,1.55174E+12,129739738.2,218615,47.038702,0,,,,
1.55174E+12,3716.1,3877.1,3703.55,3857.73,32962.53616,1.55183E+12,124945530.8,202444,55.526074,1,,,,
1.55183E+12,3857.58,3907,3813.09,3861.84,24775.11883,1.55192E+12,95417637.59,165101,55.746462,1,,,,
1.55192E+12,3861.84,3905.4,3840.4,3873.64,26455.25766,1.552E+12,102585458.4,180520,56.414269,1,,,,
1.552E+12,3873.63,3932,3800,3864.89,34730.36659,1.55209E+12,135000852,211534,55.74253,0,,,,
1.55209E+12,3864.88,3971.75,3854.75,3943.04,30979.74765,1.55218E+12,121353607,206869,60.290446,1,,,,
1.55218E+12,3943.43,3943.43,3881.69,3916.82,23187.56141,1.55226E+12,90693949.72,167920,58.132056,0,,,,
1.55226E+12,3915.99,3936.98,3830,3871.61,38066.88571,1.55235E+12,147721971.1,209916,54.508522,0,,,,
1.55235E+12,3871.61,3905.2,3826.06,3882.73,26921.00862,1.55244E+12,104393849.4,182885,55.247429,1,,,,
1.55244E+12,3882.69,3893.56,3840,3866,24461.00876,1.55252E+12,94680049.46,186572,53.830768,0,,,,
1.55252E+12,3866,3920,3810.43,3877.12,27048.74853,1.55261E+12,104673038.8,196651,54.662916,1,,,,
1.55261E+12,3877.12,3939.22,3872.2,3923.76,21740.0615,1.55269E+12,84919900.72,163866,58.076019,1,,,,
