First Training,2021-05-18 08:53,130,10000,5000,500,100,1e-05,10,32,CNN,10473.41,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 11:04,184,10000,5000,500,100,1e-05,15,32,CNN,10625.20,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 14:09,55,10000,5000,500,100,1e-05,5,64,CNN,10588.98,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 15:05,87,10000,5000,500,100,1e-05,10,64,CNN,10710.55,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 16:34,120,10000,5000,500,100,1e-05,15,64,CNN,10492.41,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 18:36,48,10000,5000,500,100,1e-05,5,128,CNN,11259.99,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 19:25,69,10000,5000,500,100,1e-05,10,128,CNN,10968.65,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 20:35,90,10000,5000,500,100,1e-05,15,128,CNN,10358.73,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 22:06,40,10000,5000,500,100,1e-05,5,256,CNN,10631.35,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 22:47,54,10000,5000,500,100,1e-05,10,256,CNN,11015.28,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 23:42,68,10000,5000,500,100,1e-05,15,256,CNN,10814.39,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-19 15:26,77,10000,5000,500,100,0.001,25,128,CNN,10986.61,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-20 14:26,59,10000,5000,500,100,0.0001,5,32,CNN,10822.48,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-20 15:26,118,10000,5000,500,100,0.0001,10,32,CNN,10883.21,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-20 17:25,183,10000,5000,500,100,0.0001,15,32,CNN,10534.55,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-21 21:48,195,10000,5000,500,100,0.0001,20,32,CNN,10490.30,"[64, 64, 64]","[64, 64, 64]",['RSI']
